City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Longyearbyen,SJ,78.2186,15.6401,-6.09,86,75,6.69,light snow
80,Lebu,CL,-37.6167,-73.65,14.56,77,100,4.61,overcast clouds
81,Palauig,PH,15.435,119.9045,26.36,77,8,1.86,clear sky
82,Jalu,LY,29.0331,21.5482,20.04,54,95,7.45,overcast clouds
83,Flinders,AU,-34.5833,150.8552,16.88,85,88,1.79,overcast clouds
84,Itarema,BR,-2.9248,-39.9167,27.22,82,74,3.49,broken clouds
85,Port Alfred,ZA,-33.5906,26.891,18.37,82,37,2.47,scattered clouds
86,Butaritari,KI,3.0707,172.7902,27.41,74,15,5.88,few clouds
87,Puerto Ayora,EC,-0.7393,-90.3518,25.98,87,72,4.62,light rain
88,Muisne,EC,0.6,-80.0333,26.04,76,75,4.95,broken clouds
89,New Norfolk,AU,-42.7826,147.0587,13.7,71,100,1.34,overcast clouds
90,Tasiilaq,GL,65.6145,-37.6368,1.09,98,100,5.17,light snow
91,Asfi,MA,32.2994,-9.2372,19.57,73,100,7.02,overcast clouds
92,Calvinia,ZA,-31.4707,19.776,17.58,43,0,2.21,clear sky
93,Sherlovaya Gora,RU,50.5667,116.25,2.9,60,100,2.99,overcast clouds
94,Selestat,FR,48.2598,7.4565,13.08,38,0,4.63,clear sky
95,Laguna,US,38.421,-121.4238,21.54,43,0,3.6,clear sky
96,Prosec,CZ,49.8059,16.1162,7.05,55,57,4.02,broken clouds
97,Johnshaven,GB,56.7949,-2.3358,8.16,91,97,4.0,overcast clouds
98,Nchelenge,ZM,-9.3451,28.734,21.16,87,19,2.68,light rain
99,Zhicheng,CN,30.2956,111.5047,11.91,81,100,1.29,overcast clouds
100,Ambilobe,MG,-13.2,49.05,23.09,89,34,1.3,scattered clouds
101,Mar Del Plata,AR,-38.0023,-57.5575,20.01,83,0,4.63,clear sky
102,Gat,IL,31.61,34.7642,30.38,24,18,7.45,few clouds
103,Sao Filipe,CV,14.8961,-24.4956,21.95,77,0,6.26,clear sky
104,Inverness,GB,57.4791,-4.224,14.95,62,0,5.66,clear sky
105,Dingle,PH,10.9995,122.6711,24.27,89,76,3.4,broken clouds
106,Amambai,BR,-23.1042,-55.2258,22.82,51,32,2.65,scattered clouds
107,Bismarck,US,46.8083,-100.7837,0.91,77,100,15.95,mist
108,Cidreira,BR,-30.1811,-50.2056,20.61,63,100,4.13,overcast clouds
109,Tagusao,PH,9.1924,117.8141,25.85,87,56,2.27,broken clouds
110,Waddan,LY,29.1614,16.139,19.45,37,2,2.87,clear sky
111,Cap Malheureux,MU,-19.9842,57.6142,25.26,90,35,0.89,scattered clouds
112,Hasaki,JP,35.7333,140.8333,9.22,69,44,3.46,scattered clouds
113,Hithadhoo,MV,-0.6,73.0833,28.11,75,34,2.93,scattered clouds
114,Necochea,AR,-38.5473,-58.7368,19.36,61,62,5.03,broken clouds
115,Klaksvik,FO,62.2266,-6.589,8.51,95,100,4.81,overcast clouds
116,Atuona,PF,-9.8,-139.0333,26.52,78,15,8.34,few clouds
117,Raichur,IN,16.2,77.3667,29.07,49,100,3.77,overcast clouds
118,Burlington,US,39.8835,-74.6413,11.94,45,20,7.72,few clouds
119,Vila,PT,42.0304,-8.1588,12.49,85,2,2.32,clear sky
120,East London,ZA,-33.0153,27.9116,18.73,83,98,3.22,overcast clouds
121,Zhigansk,RU,66.7697,123.3711,-2.87,81,100,13.35,overcast clouds
122,Narsaq,GL,60.9167,-46.05,2.12,79,100,2.56,overcast clouds
123,Leningradskiy,RU,69.3833,178.4167,-13.53,90,67,1.16,broken clouds
124,Lagoa,PT,39.05,-27.9833,14.03,67,27,6.35,scattered clouds
125,Maltahohe,NA,-24.8333,16.9833,19.35,24,2,1.84,clear sky
126,Kamyshla,RU,54.1169,52.1426,7.79,91,99,2.54,overcast clouds
127,Kayerkan,RU,69.3497,87.7602,-14.71,84,100,4.07,light snow
128,Poum,NC,-20.2333,164.0167,25.57,66,80,3.12,broken clouds
129,Kodiak,US,57.79,-152.4072,3.73,81,100,1.54,overcast clouds
130,Saint-Junien,FR,45.8833,0.9,16.32,76,100,0.76,overcast clouds
131,Nishihara,JP,26.1842,127.7558,18.6,75,0,1.03,clear sky
132,Gotsu,JP,35.0,132.2167,11.11,46,100,1.47,overcast clouds
133,Toamasina,MG,-18.1667,49.3833,23.0,94,75,2.06,broken clouds
134,Kapaa,US,22.0752,-159.319,24.15,93,100,9.77,moderate rain
135,Tiarei,PF,-17.5333,-149.3333,28.89,73,11,6.23,light rain
136,Caravelas,BR,-17.7125,-39.2481,24.91,68,100,4.76,overcast clouds
137,Sioux Lookout,CA,50.1001,-91.917,-0.96,51,100,2.06,overcast clouds
138,Bredasdorp,ZA,-34.5322,20.0403,15.43,94,49,2.14,scattered clouds
139,Salalah,OM,17.0151,54.0924,28.05,83,40,1.54,scattered clouds
